country,n
Canada,3662
NA,2655
United States,1484
Germany,1212
Brazil,868
France,759
South Korea,693
Austria,596
Unrecoverable,516
Russia,464
United Kingdom,432
China,370
Mexico,310
Norway,295
Sweden,215
Ireland,199
Mongolia,185
Finland,182
Belgium,173
Kyrgyzstan,115
Thailand,109
Japan,108
Italy,102
India,84
Ecuador,82
Costa Rica,80
Switzerland,80
Guatemala,70
Honduras,56
Slovenia,56
Turkiye,49
Argentina,41
Portugal,37
Unspecified country,37
Pakistan,33
Colombia,32
Nepal,32
Bulgaria,30
Iran,30
Greenland,25
Kazakhstan,25
Taiwan,25
Spain,23
New Zealand,21
Chile,20
Denmark,20
Poland,20
Belarus,19
Iceland,15
Tajikistan,14
Ukraine,14
Georgia,13
Armenia,11
Bhutan,10
Bolivia,10
Myanmar,10
Greece,8
Latvia,7
Paraguay,7
Slovakia,6
Cyprus,4
Malaysia,4
Peru,3
Philippines,3
Vietnam,3
Czechia,2
Estonia,2
Hungary,2
Indonesia,2
Lebanon,2
Uzbekistan,2
Algeria,1
Australia,1
Kenya,1
Morocco,1
Serbia,1
